CÓDIGO HORÁRIO;DESCRIÇÃO HORÁRIO;ID SCRIPT;INICIO;TERMINO
1058;05:00 AS 09:00;05:0009:00;05:00;09:00
1047;18:00 AS 22:00;18:0022:00;18:00;22:00
801;03:00 05:30 05:45 09:00;03:0009:00;03:00;09:00
3363;10:00 13:10 14:10 18:00;10:0018:00;10:00;18:00
2409;10:00 13:45 14:45 18:00;10:0018:00;10:00;18:00
1055;00:00 AS 04:00;00:0004:00;00:00;04:00
5374;00:00 04:00;00:0004:00;00:00;04:00
324;05:00 07:20 07:35 11:00;05:0011:00;05:00;11:00
445;05:00 07:15 07:30 11:00;05:0011:00;05:00;11:00
1085;05:30 AS 11:30;2,299652778;05:30;11:30
2303;05:00 09:35 10:05 13:00;05:0013:00;05:00;13:00
25;06:00 10:00;06:0010:00;06:00;10:00
2418;05:00 08:25 08:55 13:00;05:0013:00;05:00;13:00
2108;20:00 21:12 21:27 00:00;20:0000:00;20:00;00:00
5814;12:00 14:24 14:39 20:00;12:0020:00;12:00;20:00
4427;17:00 18:00 19:00 23:00;17:0023:00;17:00;23:00
1258;20:00 AS 01:00;20:0001:00;20:00;01:00
733;11:00 13:55 14:10 17:00;11:0017:00;11:00;17:00
1967;11:00 14:20 14:35 17:00;11:0017:00;11:00;17:00
1919;11:00 12:50 13:05 17:00;11:0017:00;11:00;17:00
1927;11:00 13:05 13:20 17:00;11:0017:00;11:00;17:00
505;11:00 14:10 15:10 19:00;11:0019:00;11:00;19:00
216;11:00 15:55 16:55 19:00;11:0019:00;11:00;19:00
5365;11:00 15:00 16:00 19:00;11:0019:00;11:00;19:00
3042;18:00 20:45 21:45 02:00;18:0002:00;18:00;02:00
3046;18:00 20:55 21:55 02:00;18:0002:00;18:00;02:00
3394;18:00 20:10 21:10 02:00;18:0002:00;18:00;02:00
672;11:00 15:30 16:30 19:00;11:0019:00;11:00;19:00
796;11:00 15:50 16:50 19:00;11:0019:00;11:00;19:00
640;11:00 14:05 15:05 19:00;11:0019:00;11:00;19:00
3752;05:00 08:45 09:45 11:00;05:0011:00;05:00;11:00
5263;05:00 06:50 07:50 11:00;05:0011:00;05:00;11:00
3477;05:00 07:40 08:40 11:00;05:0011:00;05:00;11:00
3742;05:00 08:00 09:00 11:00;05:0011:00;05:00;11:00
3747;05:00 09:00 10:00 11:00;05:0011:00;05:00;11:00
4921;05:00 07:35 08:35 11:00;05:0011:00;05:00;11:00
5264;05:00 08:25 09:25 11:00;05:0011:00;05:00;11:00
5071;09:00 10:00 11:00 15:00;09:0015:00;09:00;15:00
3250;08:00 09:00 10:00 14:00;08:0014:00;08:00;14:00
1017;09:00 AS 18:30;09:0018:30;09:00;18:30
1018;09:00 AS 18:00;09:0018:00;09:00;18:00
4127;16:00 20:40 20:55 00:00;16:0000:00;16:00;00:00
1063;10:00 AS 14:00;10:0014:00;10:00;14:00
2412;10:00 13:50 14:50 18:00;10:0018:00;10:00;18:00
866;04:00 07:10 08:10 12:00;04:0012:00;04:00;12:00
2386;04:30 07:00 07:15 10:30;2,257291667;04:30;10:30
737;04:30 07:45 08:00 10:30;2,257291667;04:30;10:30
734;04:30 08:25 08:40 10:30;2,257291667;04:30;10:30
1042;07:00 AS 11:00;07:0011:00;07:00;11:00
1043;16:00 AS 20:00;16:0020:00;16:00;20:00
3136;19:00 21:00 22:00 03:00;19:0003:00;19:00;03:00
5400;15:00 19:00;15:0019:00;15:00;19:00
1070;15:00 AS 19:00;15:0019:00;15:00;19:00
1337;14:00 16:15 17:15 22:00;14:0022:00;14:00;22:00
1786;14:00 17:20 18:20 22:00;14:0022:00;14:00;22:00
1345;14:00 16:35 17:35 22:00;14:0022:00;14:00;22:00
1339;14:00 16:55 17:55 22:00;14:0022:00;14:00;22:00
1120;09:00 AS 18:30;09:0018:30;09:00;18:30
2518;04:00 08:30 09:30 12:00;04:0012:00;04:00;12:00
727;04:00 08:35 09:35 12:00;04:0012:00;04:00;12:00
3812;12:00 13:12 13:27 16:00;12:0016:00;12:00;16:00
3811;12:00 13:30 13:45 16:00;12:0016:00;12:00;16:00
2324;12:00 13:25 13:40 16:00;12:0016:00;12:00;16:00
4840;12:00 14:00 14:15 16:00;12:0016:00;12:00;16:00
2317;12:00 13:15 13:30 16:00;12:0016:00;12:00;16:00
2325;12:00 13:50 14:05 16:00;12:0016:00;12:00;16:00
706;12:00 13:55 14:10 16:00;12:0016:00;12:00;16:00
2322;12:00 13:20 13:35 16:00;12:0016:00;12:00;16:00
705;12:00 14:25 14:40 16:00;12:0016:00;12:00;16:00
2323;12:00 14:30 14:45 16:00;12:0016:00;12:00;16:00
2318;12:00 14:15 14:30 16:00;12:0016:00;12:00;16:00
4614;19:00 20:12 20:27 23:00;19:0023:00;19:00;23:00
1199;13:00 15:00 16:00 21:00;13:0021:00;13:00;21:00
1049;19:00 AS 23:00;19:0023:00;19:00;23:00
1968;11:00 13:30 13:45 17:00;11:0017:00;11:00;17:00
1925;11:00 13:25 13:40 17:00;11:0017:00;11:00;17:00
2126;11:00 14:00 14:15 17:00;11:0017:00;11:00;17:00
4845;11:30 14:55 15:55 19:30;2,555208333;11:30;19:30
4846;11:30 14:00 15:00 19:30;2,555208333;11:30;19:30
4132;16:00 18:05 18:35 00:00;16:0000:00;16:00;00:00
4584;17:00 18:12 18:27 21:00;17:0021:00;17:00;21:00
4150;11:00 15:45 16:00 19:00;11:0019:00;11:00;19:00
1076;23:00 AS 05:00;23:0005:00;23:00;05:00
5540;19:00 19:00 20:00 23:00;19:0023:00;19:00;23:00
1113;10:30 AS 16:30;2,511458333;10:30;16:30
3202;08:00 10:15 10:30 14:00;08:0014:00;08:00;14:00
1867;20:00 21:48 22:03 02:00;20:0002:00;20:00;02:00
1001;08:00 AS 12:00;08:0012:00;08:00;12:00
4839;11:00 12:00 13:00 17:00;11:0017:00;11:00;17:00
729;11:00 14:30 14:45 17:00;11:0017:00;11:00;17:00
1970;11:00 14:45 15:00 17:00;11:0017:00;11:00;17:00
102;05:00 13:00;05:0013:00;05:00;13:00
604;06:00 08:10 09:10 14:00;06:0014:00;06:00;14:00
5380;14:00 18:00;14:0018:00;14:00;18:00
5351;16:00 20:00;16:0020:00;16:00;20:00
5357;07:00 10:00 10:15 13:00;07:0013:00;07:00;13:00
946;07:00 08:55 09:10 13:00;07:0013:00;07:00;13:00
1969;11:00 14:50 15:05 17:00;11:0017:00;11:00;17:00
5041;05:00 05:00 06:00 09:00;05:0009:00;05:00;09:00
677;11:00 13:15 14:15 19:00;11:0019:00;11:00;19:00
5591;11:00 13:35 14:35 17:00;11:0017:00;11:00;17:00
5592;11:00 13:30 14:30 17:00;11:0017:00;11:00;17:00
5593;11:00 14:50 15:50 17:00;11:0017:00;11:00;17:00
5594;11:00 14:45 15:45 17:00;11:0017:00;11:00;17:00
5595;11:00 14:10 15:10 17:00;11:0017:00;11:00;17:00
5596;11:00 14:30 15:30 17:00;11:0017:00;11:00;17:00
5597;11:00 13:40 14:40 17:00;11:0017:00;11:00;17:00
731;11:00 13:15 13:30 17:00;11:0017:00;11:00;17:00
4155;05:00 10:05 10:35 13:00;05:0013:00;05:00;13:00
5859;03:00 04:00 05:00 09:00;03:0009:00;03:00;09:00
2377;14:00 15:12 15:27 18:00;14:0018:00;14:00;18:00
1067;12:00 AS 16:00;12:0016:00;12:00;16:00
2427;05:00 09:45 10:00 13:00;05:0013:00;05:00;13:00
2434;05:00 09:20 09:35 13:00;05:0013:00;05:00;13:00
648;05:00 09:55 10:10 13:00;05:0013:00;05:00;13:00
2424;05:00 07:24 07:39 13:00;05:0013:00;05:00;13:00
5604;05:00 08:15 08:30 13:00;05:0013:00;05:00;13:00
1081;03:00 AS 09:00;03:0009:00;03:00;09:00
5608;03:00 09:00;03:0009:00;03:00;09:00
5043;07:00 08:00 09:00 13:00;07:0013:00;07:00;13:00
2057;20:00 20:00 21:00 00:00;20:0000:00;20:00;00:00
5748;01:00 02:00 03:00 07:00;01:0007:00;01:00;07:00
1065;11:00 AS 15:00;11:0015:00;11:00;15:00
4435;08:00 10:45 11:45 17:30;08:0017:30;08:00;17:30
1061;07:30 AS 11:30;2,382986111;07:30;11:30
1178;06:30 AS 10:30;2,340625;06:30;10:30
3055;08:00 12:25 13:25 16:00;08:0016:00;08:00;16:00
3060;08:00 12:15 13:15 16:00;08:0016:00;08:00;16:00
3056;08:00 12:35 13:35 16:00;08:0016:00;08:00;16:00
1994;08:00 11:40 12:40 16:00;08:0016:00;08:00;16:00
1993;08:00 11:55 12:55 16:00;08:0016:00;08:00;16:00
1997;08:00 10:45 11:45 16:00;08:0016:00;08:00;16:00
3249;08:00 10:55 11:55 16:00;08:0016:00;08:00;16:00
2003;08:00 10:20 11:20 16:00;08:0016:00;08:00;16:00
3247;08:00 11:25 12:25 16:00;08:0016:00;08:00;16:00
3064;08:00 10:15 11:15 16:00;08:0016:00;08:00;16:00
1144;23:00 AS 07:00;23:0007:00;23:00;07:00
4613;05:00 06:12 06:27 09:00;05:0009:00;05:00;09:00
2783;11:00 12:12 12:27 15:00;11:0015:00;11:00;15:00
5817;15:00 16:12 16:27 19:00;15:0019:00;15:00;19:00
5049;07:00 08:12 08:27 11:00;07:0011:00;07:00;11:00
696;17:00 20:45 21:00 23:00;17:0023:00;17:00;23:00
110;17:00 19:25 19:40 23:00;17:0023:00;17:00;23:00
5333;17:00 20:00 20:15 23:00;17:0023:00;17:00;23:00
481;17:00 19:20 19:35 23:00;17:0023:00;17:00;23:00
100;17:00 20:05 20:20 23:00;17:0023:00;17:00;23:00
356;17:00 19:15 19:30 23:00;17:0023:00;17:00;23:00
1068;14:00 AS 18:00;14:0018:00;14:00;18:00
3002;20:00 22:50 23:50 04:00;20:0004:00;20:00;04:00
2180;20:00 22:45 23:45 04:00;20:0004:00;20:00;04:00
2051;20:00 22:15 23:15 04:00;20:0004:00;20:00;04:00
3003;20:00 22:40 23:40 04:00;20:0004:00;20:00;04:00
3680;19:00 23:00;19:0023:00;19:00;23:00
3315;00:30 02:45 03:00 06:30;2,087847222;00:30;06:30
4639;06:00 07:12 07:27 10:00;06:0010:00;06:00;10:00
4849;19:00 20:35 20:50 23:00;19:0023:00;19:00;23:00
2361;18:00 21:55 22:55 00:00;18:0000:00;18:00;00:00
1882;18:00 20:55 21:55 00:00;18:0000:00;18:00;00:00
2362;18:00 22:00 23:00 00:00;18:0000:00;18:00;00:00
1879;18:00 20:25 21:25 00:00;18:0000:00;18:00;00:00
1878;18:00 21:20 22:20 00:00;18:0000:00;18:00;00:00
3546;18:00 20:10 21:10 00:00;18:0000:00;18:00;00:00
2358;18:00 19:25 20:25 00:00;18:0000:00;18:00;00:00
5035;10:00 11:12 11:27 14:00;10:0014:00;10:00;14:00
